,,,2018,,,,,,2019,,,,,,2020,,,,,,2021,,,,,,2022,,,,,,2023,,,,,
,자치구,분류,종건수,책건수,대출건수,종비율,책비율,대출건수비율,종건수,책건수,대출건수,종비율,책비율,대출건수비율,종건수,책건수,대출건수,종비율,책비율,대출건수비율,종건수,책건수,대출건수,종비율,책비율,대출건수비율,종건수,책건수,대출건수,종비율,책비율,대출건수비율,종건수,책건수,대출건수,종비율,책비율,대출건수비율
,마포구,총류,"6,337","6,659","30,719",3.73,3.72,3.54,"6,717","7,019","27,640",3.76,3.73,3.12,"4,916","5,104","10,814",3.73,3.69,2.93,"6,482","6,717","20,107",3.65,3.6,2.73,"7,593","7,841","32,241",3.79,3.73,3.39,"7,848","8,097","32,392",3.69,3.64,3.28
,,철학,"9,331","9,468","36,553",5.5,5.29,4.21,"9,721","9,881","34,230",5.44,5.25,3.86,"6,546","6,689","13,885",4.97,4.83,3.77,"8,735","8,994","26,389",4.91,4.82,3.58,"10,224","10,551","36,800",5.1,5.02,3.86,"11,386","11,779","42,299",5.36,5.29,4.28
,,종교,"3,236","3,276","12,065",1.91,1.83,1.39,"3,262","3,292","11,219",1.83,1.75,1.27,"1,830","1,844","4,142",1.39,1.33,1.12,"2,614","2,629","8,093",1.47,1.41,1.1,"3,022","3,050","9,775",1.51,1.45,1.03,"3,349","3,384","11,621",1.58,1.52,1.18
,,사회과학,"26,857","27,467","116,641",15.82,15.35,13.42,"28,299","28,903","115,042",15.84,15.37,12.98,"19,679","20,143","46,811",14.95,14.56,12.7,"26,844","27,617","92,258",15.1,14.79,12.52,"30,212","31,122","123,918",15.08,14.81,13.01,"31,588","32,405","127,179",14.86,14.55,12.87
,,자연과학,"12,180","12,439","75,335",7.18,6.95,8.67,"12,500","12,782","74,288",7,6.8,8.38,"9,635","9,832","29,820",7.32,7.11,8.09,"12,530","12,815","59,827",7.05,6.86,8.12,"13,612","13,963","74,669",6.79,6.65,7.84,"14,291","14,646","80,059",6.73,6.58,8.1
,,기술과학,"12,990","13,356","54,452",7.65,7.47,6.27,"13,880","14,278","53,795",7.77,7.59,6.07,"9,401","9,656","20,351",7.14,6.98,5.52,"12,975","13,386","39,463",7.3,7.17,5.35,"14,686","15,144","55,229",7.33,7.21,5.8,"15,344","15,830","56,813",7.22,7.11,5.75
,,예술,"10,930","11,236","48,013",6.44,6.28,5.53,"10,938","11,265","45,192",6.12,5.99,5.1,"6,516","6,672","15,213",4.95,4.82,4.13,"8,744","8,988","26,691",4.92,4.81,3.62,"10,833","11,117","38,410",5.41,5.29,4.03,"11,560","11,864","41,062",5.44,5.33,4.16
,,언어,"5,654","7,769","36,197",3.33,4.34,4.17,"6,027","8,186","52,550",3.37,4.35,5.93,"4,667","6,263","18,499",3.54,4.53,5.02,"5,780","7,578","33,732",3.25,4.06,4.58,"6,370","8,112","38,653",3.18,3.86,4.06,"6,577","8,362","40,913",3.09,3.76,4.14
,,문학,"67,743","70,764","376,361",39.91,39.55,43.32,"72,349","75,938","391,674",40.51,40.37,44.2,"58,050","61,052","181,498",44.09,44.12,49.23,"80,161","84,158","380,181",45.08,45.06,51.58,"89,347","93,507","480,502",44.6,44.51,50.46,"95,020","99,324","485,169",44.71,44.61,49.1
,,역사,"14,464","15,299","79,345",8.52,8.55,9.13,"14,896","15,699","78,180",8.34,8.35,8.82,"10,404","10,739","26,984",7.9,7.76,7.32,"12,929","13,272","48,079",7.27,7.11,6.52,"14,427","14,975","59,651",7.2,7.13,6.26,"15,528","16,259","68,151",7.31,7.3,6.9
,,없음,26,"1,180","3,187",0.02,0.66,0.37,22,855,"2,250",0.01,0.45,0.25,13,375,672,0.01,0.27,0.18,18,605,"2,306",0.01,0.32,0.31,16,705,"2,474",0.01,0.34,0.26,14,703,"2,407",0.01,0.32,0.24
,서대문구,총류,"3,054","3,114","7,049",3.03,2.93,2.36,"3,038","3,062","7,236",2.89,2.77,2.21,"1,775","1,783","3,028",2.4,2.31,1.9,"2,512","2,523","6,002",2.55,2.45,1.84,"2,635","2,640","6,427",2.49,2.41,1.83,"2,745","2,751","6,249",2.57,2.51,1.88
,,철학,"3,401","3,413","7,746",3.37,3.22,2.59,"3,574","3,579","8,587",3.4,3.24,2.62,"2,095","2,101","3,603",2.83,2.72,2.26,"2,973","2,986","6,981",3.02,2.9,2.14,"3,521","3,532","8,491",3.32,3.22,2.42,"3,799","3,805","9,390",3.56,3.46,2.83
,,종교,"1,814","1,837","3,822",1.8,1.73,1.28,"1,781","1,796","4,423",1.69,1.63,1.35,982,990,"2,134",1.33,1.28,1.34,"1,384","1,389","4,875",1.4,1.35,1.5,"1,704","1,711","5,464",1.61,1.56,1.56,"1,763","1,769","6,004",1.65,1.61,1.81
,,사회과학,"13,392","13,544","35,403",13.28,12.76,11.83,"13,868","14,032","39,795",13.18,12.71,12.15,"9,727","9,859","18,779",13.13,12.75,11.79,"12,716","12,855","38,440",12.91,12.5,11.79,"13,513","13,679","39,965",12.76,12.48,11.38,"13,990","14,159","39,746",13.09,12.89,11.98
,,자연과학,"9,137","9,281","28,817",9.06,8.75,9.63,"9,377","9,539","30,155",8.91,8.64,9.2,"6,410","6,489","14,873",8.65,8.39,9.34,"8,732","8,842","32,385",8.86,8.6,9.94,"9,032","9,131","34,673",8.53,8.33,9.87,"9,251","9,335","32,361",8.66,8.5,9.75
,,기술과학,"5,573","5,679","14,016",5.53,5.35,4.69,"6,092","6,206","16,238",5.79,5.62,4.96,"4,022","4,083","7,311",5.43,5.28,4.59,"5,329","5,426","13,600",5.41,5.28,4.17,"5,995","6,079","15,443",5.66,5.55,4.4,"6,064","6,129","16,007",5.68,5.58,4.82
,,예술,"3,285","3,347","7,475",3.26,3.15,2.5,"3,626","3,688","8,155",3.45,3.34,2.49,"2,141","2,167","3,377",2.89,2.8,2.12,"3,476","3,513","7,335",3.53,3.42,2.25,"3,794","3,841","8,466",3.58,3.5,2.41,"3,744","3,777","8,209",3.5,3.44,2.47
,,언어,"4,028","5,202","14,974",4,4.9,5.01,"4,324","5,624","16,651",4.11,5.09,5.08,"3,067","3,772","7,151",4.14,4.88,4.49,"4,233","5,443","15,210",4.3,5.29,4.67,"4,572","5,666","16,955",4.32,5.17,4.83,"4,378","5,041","14,844",4.1,4.59,4.47
,,문학,"47,026","49,498","150,865",46.64,46.64,50.43,"49,417","51,780","165,682",46.98,46.89,50.57,"37,226","39,070","85,434",50.24,50.52,53.66,"48,993","51,229","176,819",49.73,49.81,54.26,"52,408","54,235","188,026",49.48,49.48,53.54,"51,960","53,613","172,238",48.63,48.82,51.9
,,역사,"10,061","10,242","27,399",9.98,9.65,9.16,"10,055","10,299","29,384",9.56,9.33,8.97,"6,631","6,718","13,088",8.95,8.69,8.22,"8,140","8,266","23,538",8.26,8.04,7.22,"8,714","8,826","26,782",8.23,8.05,7.63,"9,095","9,238","26,509",8.51,8.41,7.99
,,없음,47,962,"1,578",0.05,0.91,0.53,40,831,"1,305",0.04,0.75,0.4,21,304,449,0.03,0.39,0.28,21,382,718,0.02,0.37,0.22,26,279,525,0.02,0.25,0.15,48,203,316,0.04,0.18,0.1
,은평구,총류,"9,774","10,385","35,621",3.97,3.93,3.72,"10,662","11,211","37,117",3.81,3.78,3.49,"8,313","8,639","18,806",3.67,3.65,3.2,"10,888","11,228","34,748",3.6,3.57,3.01,"11,079","11,374","32,952",3.48,3.44,2.88,"10,775","10,991","32,313",3.42,3.38,2.87
,,철학,"11,973","12,211","37,105",4.87,4.62,3.87,"13,386","13,645","41,597",4.78,4.6,3.91,"10,090","10,283","21,307",4.46,4.34,3.63,"13,724","13,927","38,079",4.54,4.43,3.3,"15,057","15,221","42,388",4.73,4.6,3.7,"15,257","15,456","46,178",4.84,4.75,4.1
,,종교,"4,772","4,842","12,182",1.94,1.83,1.27,"5,475","5,532","13,997",1.96,1.86,1.31,"3,761","3,789","7,165",1.66,1.6,1.22,"5,020","5,055","14,222",1.66,1.61,1.23,"5,572","5,616","15,484",1.75,1.7,1.35,"5,890","5,925","16,428",1.87,1.82,1.46
,,사회과학,"36,341","37,309","123,829",14.77,14.1,12.93,"41,875","42,825","139,909",14.96,14.43,13.14,"32,711","33,486","79,230",14.46,14.14,13.48,"43,860","44,801","147,345",14.52,14.24,12.78,"45,876","46,659","145,631",14.4,14.12,12.71,"44,536","45,342","140,998",14.12,13.93,12.52
,,자연과학,"18,751","19,239","84,965",7.62,7.27,8.87,"21,669","22,203","91,573",7.74,7.48,8.6,"17,945","18,288","51,176",7.93,7.72,8.71,"23,208","23,680","102,980",7.68,7.53,8.93,"23,669","24,064","95,893",7.43,7.28,8.37,"22,871","23,256","92,612",7.25,7.14,8.22
,,기술과학,"15,963","16,573","52,604",6.49,6.26,5.49,"18,609","19,265","62,071",6.65,6.49,5.83,"15,053","15,506","32,994",6.65,6.55,5.62,"20,107","20,641","59,029",6.66,6.56,5.12,"20,869","21,337","58,545",6.55,6.45,5.11,"20,908","21,385","60,101",6.63,6.57,5.34
,,예술,"13,314","14,080","37,440",5.41,5.32,3.91,"14,674","15,481","41,248",5.24,5.22,3.87,"9,743","10,076","18,879",4.31,4.26,3.21,"13,831","14,392","35,123",4.58,4.57,3.05,"14,872","15,755","36,213",4.67,4.77,3.16,"14,774","15,458","36,205",4.68,4.75,3.21
,,언어,"15,833","20,797","84,889",6.44,7.86,8.86,"16,613","21,727","86,036",5.94,7.32,8.08,"13,205","16,820","38,961",5.84,7.1,6.63,"16,779","20,907","73,072",5.55,6.64,6.34,"16,922","20,371","68,009",5.31,6.16,5.94,"17,288","20,253","65,503",5.48,6.22,5.81
,,문학,"98,507","103,033","400,627",40.04,38.95,41.83,"113,475","117,710","457,759",40.54,39.66,42.99,"98,495","101,500","276,628",43.53,42.87,47.08,"133,754","137,516","570,812",44.27,43.71,49.52,"142,827","146,283","575,278",44.82,44.25,50.21,"141,121","144,196","560,190",44.74,44.3,49.73
,,역사,"20,727","21,603","81,100",8.43,8.17,8.47,"23,418","24,352","88,222",8.37,8.2,8.28,"16,915","17,374","40,896",7.48,7.34,6.96,"20,908","21,347","74,858",6.92,6.78,6.49,"21,854","22,394","72,523",6.86,6.77,6.33,"21,974","22,545","74,745",6.97,6.93,6.63
